event_id,corpus,article_id,source_domain,pub,event_date,lag_days
RTC-2020-AZ-5D5F2753,AV,ART-E58E0F50,foxbusiness.com,2020-01-31,2020-01-30,1
RTC-2020-AZ-5D5F2753,AV,ART-58AB5C67,570news.com,2020-01-31,2020-01-30,1
RTC-2020-AZ-5D5F2753,AV,ART-030D5162,driving.ca,2020-02-15,2020-01-30,16
RTC-2020-AZ-5D5F2753,AV,ART-0D002423,marketwatch.com,2020-02-14,2020-01-30,15
RTC-2020-AZ-5D5F2753,AV,ART-511E8BA2,patch.com,2020-02-14,2020-01-30,15
RTC-2021-CA-DDC28883,AV,ART-659828EA,chron.com,2021-12-16,2021-10-28,49
RTC-2021-CA-AE60A0F3,AV,ART-53DC0CF3,techcrunch.com,2021-12-16,2021-12-15,1
RTC-2022-CA-F12D37DF,AV,ART-BCFCFA95,slashdot.org,2022-07-09,2022-06-03,36
RTC-2022-CA-F12D37DF,AV,ART-436B064B,driving.ca,2022-07-08,2022-06-03,35
RTC-2022-CA-F12D37DF,AV,ART-49C0A811,foxbusiness.com,2022-07-08,2022-06-03,35
RTC-2022-CA-4C5DF2B2,AV,ART-DDB75581,sfexaminer.com,2022-08-09,2022-04-25,106
RTC-2022-CA-F12D37DF,AV,ART-6265E798,voanews.com,2022-09-18,2022-06-03,107
RTC-2022-CA-F12D37DF,AV,ART-447AD5E8,bloomberg.com,2022-09-16,2022-06-03,105
RTC-2022-CA-F12D37DF,AV,ART-9D254BBA,econotimes.com,2022-09-15,2022-06-03,104
RTC-2022-CA-F12D37DF,AV,ART-AB20FBE1,econotimes.com,2022-09-15,2022-06-03,104
RTC-2022-CA-F12D37DF,AV,ART-5F6BBB24,mysanantonio.com,2022-09-15,2022-06-03,104
RTC-2022-CA-F12D37DF,AV,ART-090EA217,forbes.com,2022-09-14,2022-06-03,103
RTC-2022-CA-F12D37DF,AV,ART-4AF27DD7,techtimes.com,2022-09-13,2022-06-03,102
RTC-2022-CA-F12D37DF,AV,ART-3F703256,beaumontenterprise.com,2022-09-13,2022-06-03,102
RTC-2022-CA-F12D37DF,AV,ART-C7C5D039,kesq.com,2022-09-13,2022-06-03,102
RTC-2022-CA-F12D37DF,AV,ART-F459EF5B,sandiegouniontribune.com,2022-09-13,2022-06-03,102
RTC-2022-CA-F12D37DF,AV,ART-8A0234A3,seattlepi.com,2022-09-13,2022-06-03,102
RTC-2022-CA-F12D37DF,AV,ART-BF3FFA6F,nhregister.com,2022-09-13,2022-06-03,102
RTC-2022-CA-F12D37DF,AV,ART-C5821E1E,chron.com,2022-09-12,2022-06-03,101
RTC-2022-CA-F12D37DF,AV,ART-662A2F2B,myplainview.com,2022-09-12,2022-06-03,101
RTC-2022-CA-F12D37DF,AV,ART-E69CD299,ourmidland.com,2022-09-12,2022-06-03,101
RTC-2022-CA-F12D37DF,AV,ART-12B601AA,sfgate.com,2022-09-12,2022-06-03,101
RTC-2022-CA-F12D37DF,AV,ART-DE2E59AA,mvariety.com,2022-09-12,2022-06-03,101
RTC-2022-CA-F12D37DF,AV,ART-81FFDD35,thestandard.com.hk,2022-09-12,2022-06-03,101
