event_id,corpus,AV,event_date,metro,severity,operator,n_articles,n_outlets,year_bin,era
RTC-2020-AZ-5D5F2753,AV,1,2020-01-30,Phoenix,Injury,Waymo,5,5,<=2022,pre
RTC-2021-CA-DDC28883,AV,1,2021-10-28,SF Bay,PDO,Other,1,1,<=2022,pre
RTC-2021-CA-AE60A0F3,AV,1,2021-12-15,SF Bay,Injury,Waymo,1,1,<=2022,pre
RTC-2022-CA-4C5DF2B2,AV,1,2022-04-25,SF Bay,PDO,Cruise,1,1,<=2022,pre
RTC-2022-CA-F12D37DF,AV,1,2022-06-03,SF Bay,Injury,Cruise,31,28,<=2022,pre
RTC-2022-CA-BF80BCC7,AV,1,2022-03-01,SF Bay,Injury,Cruise,7,7,<=2022,pre
RTC-2023-CA-86512D6A,AV,1,2023-03-06,SF Bay,PDO,Cruise,4,4,2023,pre
RTC-2023-CA-ED3F3AA8,AV,1,2023-03-24,SF Bay,PDO,Cruise,9,8,2023,pre
RTC-2023-CA-E0299B18,AV,1,2023-04-13,SF Bay,PDO,Cruise,1,1,2023,pre
RTC-2023-CA-3BB3192A,AV,1,2023-04-16,SF Bay,PDO,Cruise,1,1,2023,pre
RTC-2023-CA-145DACE4,AV,1,2023-04-01,SF Bay,PDO,Cruise,5,5,2023,pre
RTC-2023-CA-11D9A2E5,AV,1,2023-06-05,SF Bay,PDO,Other,1,1,2023,pre
RTC-2023-CA-4552AEC2,AV,1,2023-05-21,SF Bay,PDO,Waymo,10,10,2023,pre
RTC-2023-CA-D02F0554,AV,1,2023-08-17,SF Bay,Injury,Cruise,67,56,2023,pre
RTC-2023-CA-22DC7A6E,AV,1,2023-06-01,SF Bay,PDO,Cruise,2,2,2023,pre
RTC-2023-CA-D633EF37,AV,1,2023-08-07,SF Bay,PDO,Cruise,1,1,2023,pre
RTC-2023-TX-6FF60BCF,AV,1,2023-09-07,Austin,PDO,Cruise,1,1,2023,pre
RTC-2023-TX-9AD29ECE,AV,1,2023-10-31,Austin,PDO,Cruise,1,1,2023,post
RTC-2023-CA-0519A5B0,AV,1,2023-10-02,SF Bay,Injury,Cruise,145,93,2023,post
RTC-2023-TX-A99154E4,AV,1,2023-09-18,Austin,PDO,Cruise,6,6,2023,pre
RTC-2023-TX-BFFD9641,AV,1,2023-08-23,Austin,PDO,Cruise,1,1,2023,pre
RTC-2023-CA-6177D898,AV,1,2023-09-15,SF Bay,PDO,Pony.ai,1,1,2023,pre
RTC-2023-CA-E7AFE3A7,AV,1,2023-11-03,SF Bay,Injury,Waymo,1,1,2023,post
RTC-2024-CA-32249896,AV,1,2024-02-06,SF Bay,Injury,Waymo,28,22,2024,post
RTC-2024-CA-04A3C147,AV,1,2024-05-28,SF Bay,PDO,Zoox,1,1,2024,post
RTC-2024-CA-93B40BBC,AV,1,2024-05-20,SF Bay,PDO,Waymo,1,1,2024,post
