domain,category
nytimes.com,national_general
washingtonpost.com,national_general
apnews.com,national_general
reuters.com,national_general
cnn.com,national_general
nbcnews.com,national_general
abcnews.go.com,national_general
cbsnews.com,national_general
foxnews.com,national_general
usatoday.com,national_general
nypost.com,national_general
newsweek.com,national_general
businessinsider.com,national_general
yahoo.com,national_general
aol.com,national_general
msn.com,national_general
huffpost.com,national_general
thedailybeast.com,national_general
axios.com,national_general
npr.org,national_general
voanews.com,national_general
washingtonexaminer.com,national_general
breitbart.com,national_general
theepochtimes.com,national_general
hotair.com,national_general
naturalnews.com,national_general
newsnationnow.com,national_general
thehill.com,national_general
politico.com,national_general
forbes.com,business
bloomberg.com,business
wsj.com,business
cnbc.com,business
marketwatch.com,business
fortune.com,business
foxbusiness.com,business
barrons.com,business
benzinga.com,business
fool.com,business
marketscreener.com,business
moneycontrol.com,business
proactiveinvestors.co.uk,business
econotimes.com,business
ibtimes.com,business
businesswire.com,business
prnewswire.com,business
digitaljournal.com,business
techcrunch.com,tech_trade
theverge.com,tech_trade
arstechnica.com,tech_trade
wired.com,tech_trade
engadget.com,tech_trade
gizmodo.com,tech_trade
pcmag.com,tech_trade
digitaltrends.com,tech_trade
techtimes.com,tech_trade
slashdot.org,tech_trade
theregister.com,tech_trade
itechpost.com,tech_trade
dailydot.com,tech_trade
mashable.com,tech_trade
cnet.com,tech_trade
zdnet.com,tech_trade
therobotreport.com,tech_trade
autoconnectedcar.com,tech_trade
techstory.in,tech_trade
electrek.co,auto_trade
insideevs.com,auto_trade
jalopnik.com,auto_trade
thetruthaboutcars.com,auto_trade
caranddriver.com,auto_trade
autoweek.com,auto_trade
torquenews.com,auto_trade
cleantechnica.com,auto_trade
motortrend.com,auto_trade
driving.ca,auto_trade
autoblog.com,auto_trade
carscoops.com,auto_trade
insideevs.com,auto_trade
iheart.com,national_syndication
indiatimes.com,national_syndication
thestar.com.my,national_syndication
siasat.com,national_syndication
indianexpress.com,national_syndication
freepressjournal.in,national_syndication
newdelhitimes.com,national_syndication
thenewsminute.com,national_syndication
asiaone.com,national_syndication
dailymail.co.uk,national_syndication
dailystar.co.uk,national_syndication
thestandard.com.hk,national_syndication
pakistantelegraph.com,national_syndication
jamaicantimes.com,national_syndication
