event_id,corpus,n_articles,n_stories,dup_removed
RTC-2020-AZ-5D5F2753,AV,5,5,0
RTC-2021-CA-DDC28883,AV,1,1,0
RTC-2021-CA-AE60A0F3,AV,1,1,0
RTC-2022-CA-4C5DF2B2,AV,1,1,0
RTC-2022-CA-F12D37DF,AV,31,26,5
RTC-2022-CA-BF80BCC7,AV,7,7,0
RTC-2023-CA-86512D6A,AV,4,4,0
RTC-2023-CA-ED3F3AA8,AV,9,8,1
RTC-2023-CA-E0299B18,AV,1,1,0
RTC-2023-CA-3BB3192A,AV,1,1,0
RTC-2023-CA-145DACE4,AV,5,5,0
RTC-2023-CA-11D9A2E5,AV,1,1,0
RTC-2023-CA-4552AEC2,AV,10,10,0
RTC-2023-CA-D02F0554,AV,67,55,12
RTC-2023-CA-22DC7A6E,AV,2,2,0
RTC-2023-CA-D633EF37,AV,1,1,0
RTC-2023-TX-6FF60BCF,AV,1,1,0
RTC-2023-TX-9AD29ECE,AV,1,1,0
RTC-2023-CA-0519A5B0,AV,145,115,30
RTC-2023-TX-A99154E4,AV,6,1,5
RTC-2023-TX-BFFD9641,AV,1,1,0
RTC-2023-CA-6177D898,AV,1,1,0
RTC-2023-CA-E7AFE3A7,AV,1,1,0
RTC-2024-CA-32249896,AV,28,26,2
RTC-2024-CA-04A3C147,AV,1,1,0
RTC-2024-CA-93B40BBC,AV,1,1,0
RTC-2024-NV-7C29FD94,AV,1,1,0
RTC-2024-NV-1F2B19FE,AV,1,1,0
RTC-2024-AZ-EE03A0EC,AV,9,9,0
RTC-2024-AZ-EBB317A1,AV,1,1,0
RTC-2024-CA-B0A7AD5A,AV,1,1,0
RTC-2024-CA-02391936,AV,2,2,0
RTC-2024-CA-78E868D4,AV,1,1,0
RTC-2024-AZ-CE7319D0,AV,1,1,0
RTC-2024-CA-38C291EF,AV,4,4,0
RTC-2024-AZ-50EE4FF6,AV,1,1,0
RTC-2024-CA-017213D4,AV,1,1,0
RTC-2025-CA-BE49A2DB,AV,1,1,0
RTC-2025-CA-A1470DEA,AV,1,1,0
RTC-2025-CA-8B95420A,AV,1,1,0
RTC-2025-CA-180C4595,AV,1,1,0
RTC-2025-CA-39E02EA9,AV,1,1,0
RTC-2025-CA-C760B6F1,AV,6,5,1
RTC-2025-CA-8C410F35,AV,1,1,0
RTC-2025-CA-805FFE24,AV,1,1,0
RTC-2025-NV-0412D4A6,AV,3,3,0
RTC-2025-NV-01F5490A,AV,8,8,0
RTC-2025-CA-6D59D272,AV,3,1,2
RTC-2025-CA-69A0AD32,AV,1,1,0
RTC-2025-TX-6EDD4A1D,AV,4,4,0
RTC-2025-TX-7B2F8D27,AV,1,1,0
PFC-2020-CA-5B555928,Ped,1,1,0
PFC-2020-CA-C56E5E8B,Ped,1,1,0
PFC-2020-NV-550DCD13,Ped,1,1,0
PFC-2020-CA-D6DF7EE1,Ped,6,6,0
PFC-2020-CA-CEB7D374,Ped,1,1,0
PFC-2020-NV-0D7B199E,Ped,1,1,0
PFC-2020-AZ-E29E1368,Ped,2,2,0
PFC-2020-AZ-FECD974C,Ped,5,1,4
PFC-2020-CA-61DF5E81,Ped,1,1,0
PFC-2020-CA-F4AB331F,Ped,1,1,0
PFC-2020-CA-4C00AF3F,Ped,1,1,0
PFC-2020-AZ-6CAA4009,Ped,2,2,0
PFC-2020-CA-2206B686,Ped,1,1,0
PFC-2020-CA-1F1B33BF,Ped,1,1,0
PFC-2020-CA-044D00B9,Ped,1,1,0
PFC-2020-CA-E3017809,Ped,1,1,0
PFC-2020-CA-AE16FA2D,Ped,1,1,0
PFC-2020-CA-2D12C56F,Ped,1,1,0
PFC-2020-TX-87F6EF27,Ped,2,2,0
PFC-2020-TX-0A27FDE2,Ped,4,4,0
PFC-2020-CA-E1D8289F,Ped,1,1,0
PFC-2020-CA-10A2A9C4,Ped,1,1,0
PFC-2020-CA-C967D216,Ped,3,1,2
PFC-2020-CA-49FE25A1,Ped,2,2,0
PFC-2020-CA-808B6E08,Ped,3,3,0
PFC-2020-CA-C80E7FA8,Ped,2,2,0
PFC-2020-CA-84A86020,Ped,1,1,0
PFC-2020-AZ-9C7D4B19,Ped,1,1,0
PFC-2020-CA-B4E841ED,Ped,1,1,0
PFC-2020-NV-DAA3DA80,Ped,1,1,0
PFC-2020-AZ-D315C3F1,Ped,1,1,0
PFC-2020-TX-A8DD445F,Ped,1,1,0
PFC-2020-CA-3582F388,Ped,1,1,0
PFC-2020-CA-DCB8529B,Ped,2,2,0
PFC-2020-AZ-FC592A86,Ped,1,1,0
PFC-2020-AZ-E61DBAE1,Ped,1,1,0
PFC-2020-AZ-743BF7A2,Ped,1,1,0
PFC-2020-AZ-AFB3B2BA,Ped,1,1,0
PFC-2020-CA-D55C9951,Ped,2,2,0
PFC-2020-TX-07D2D33E,Ped,2,1,1
PFC-2020-TX-FAA0515F,Ped,1,1,0
PFC-2020-AZ-C00C669B,Ped,1,1,0
PFC-2020-CA-05E9DEE5,Ped,1,1,0
PFC-2020-CA-666A060C,Ped,2,2,0
PFC-2020-AZ-8550F905,Ped,1,1,0
PFC-2020-CA-FFB3CEAF,Ped,1,1,0
PFC-2020-CA-CCFF2144,Ped,1,1,0
PFC-2020-CA-9FBD4B22,Ped,1,1,0
PFC-2020-AZ-54FB3C69,Ped,1,1,0
PFC-2020-NV-CFC5CEC4,Ped,1,1,0
PFC-2020-CA-BB9818B9,Ped,1,1,0
PFC-2020-AZ-16E61A52,Ped,1,1,0
PFC-2020-AZ-4692B6A3,Ped,1,1,0
PFC-2020-TX-066032C0,Ped,1,1,0
PFC-2020-TX-67B7426B,Ped,1,1,0
PFC-2020-CA-42AAE10D,Ped,1,1,0
